game_title,author,number_of_ratings,wowie_rank,wowie_score,wowie_raw_score,fun_rank,fun_score,fun_raw_score,creativity_rank,creativity_score,creativity_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,on_topic_rank,on_topic_score,on_topic_raw_score
Hover John,Vesite, 16,#139,3.563,3.563,#81,3.813,3.813,#68,4.063,4.063,#239,3.875,3.875,#511,2.563,2.563,#256,3.563,3.563,#83,4.063,4.063
Billy Stickman,Doctor Ron, 32,#139,3.563,3.563,#164,3.563,3.563,#245,3.594,3.594,#155,4.063,4.063,#79,3.656,3.656,#317,3.375,3.375,#246,3.625,3.625
Dead And: AI Academy,FinFET channel, 25,#141,3.560,3.560,#261,3.320,3.320,#177,3.760,3.760,#360,3.640,3.640,#329,3.000,3.000,#242,3.600,3.600,#133,3.920,3.920
Robocopy,Xisip, 27,#142,3.556,3.556,#137,3.630,3.630,#78,4.000,4.000,#149,4.074,4.074,#290,3.111,3.111,#185,3.778,3.778,#73,4.111,4.111
RECPLAY,Stingby12, 27,#142,3.556,3.556,#154,3.593,3.593,#215,3.667,3.667,#252,3.852,3.852,#290,3.111,3.111,#391,3.185,3.185,#187,3.778,3.778
The Octopus,"monninen, Tipu", 20,#144,3.550,3.550,#249,3.350,3.350,#202,3.700,3.700,#413,3.500,3.500,#329,3.000,3.000,#152,3.900,3.900,#117,3.950,3.950
Attack Assist,Komodkin, 20,#144,3.550,3.550,#249,3.350,3.350,#285,3.500,3.500,#103,4.150,4.150,#323,3.050,3.050,#403,3.150,3.150,#325,3.400,3.400
Piggyback Wars,Uppitydonkey57, 31,#146,3.548,3.548,#193,3.484,3.484,#121,3.903,3.903,#323,3.710,3.710,#317,3.065,3.065,#283,3.484,3.484,#113,3.968,3.968
E.D.D.I.E,"JPHuss, Alex de la Cour", 31,#146,3.548,3.548,#273,3.290,3.290,#353,3.355,3.355,#456,3.452,3.452,#133,3.516,3.516,#61,4.258,4.258,#75,4.097,4.097
The Lazy Cook,JodieHasAShovel, 22,#148,3.545,3.545,#209,3.455,3.455,#211,3.682,3.682,#472,3.409,3.409,#38,3.864,3.864,#84,4.136,4.136,#214,3.727,3.727
Control The Control,okAi, 35,#149,3.543,3.543,#118,3.657,3.657,#151,3.829,3.829,#373,3.600,3.600,#99,3.600,3.600,#163,3.857,3.857,#245,3.629,3.629
TEDFIELD,Andy, 37,#150,3.541,3.541,#306,3.216,3.216,#405,3.216,3.216,#426,3.486,3.486,#104,3.595,3.595,#30,4.432,4.432,#315,3.432,3.432
RaftyCrafty,FinnR, 13,#151,3.538,3.538,#265,3.308,3.308,#237,3.615,3.615,#51,4.308,4.308,#329,3.000,3.000,#641,2.385,2.385,#43,4.231,4.231
Apocalypse with Friends,DudeMakesGames, 13,#151,3.538,3.538,#144,3.615,3.615,#522,2.923,2.923,#35,4.385,4.385,#59,3.769,3.769,#468,2.923,2.923,#165,3.846,3.846
SnAIkeS,"StarikTenger, Robby-the-paladin, MaximusTG", 41,#153,3.537,3.537,#242,3.366,3.366,#100,3.951,3.951,#33,4.390,4.390,#298,3.098,3.098,#310,3.390,3.390,#144,3.902,3.902
Human and Robob,EsistPaul, 28,#154,3.536,3.536,#128,3.643,3.643,#285,3.500,3.500,#274,3.821,3.821,#215,3.286,3.286,#73,4.179,4.179,#183,3.786,3.786
Pink Robot Co,Triberium, 58,#155,3.534,3.534,#121,3.655,3.655,#302,3.466,3.466,#345,3.655,3.655,#519,2.534,2.534,#245,3.586,3.586,#221,3.707,3.707
The Yellow Mansion,Luís Torres, 30,#156,3.533,3.533,#312,3.200,3.200,#192,3.733,3.733,#373,3.600,3.600,#208,3.300,3.300,#86,4.133,4.133,#402,3.200,3.200
Cooperation Simulation,Somewhat Nerd, 30,#156,3.533,3.533,#272,3.300,3.300,#192,3.733,3.733,#312,3.733,3.733,#236,3.233,3.233,#114,4.033,4.033,#207,3.733,3.733
Good Robot! :),NikoD, 94,#158,3.532,3.532,#173,3.532,3.532,#295,3.489,3.489,#115,4.128,4.128,#257,3.181,3.181,#298,3.426,3.426,#42,4.234,4.234
Chess Master,TheRulerMeasure, 47,#158,3.532,3.532,#117,3.660,3.660,#48,4.149,4.149,#134,4.085,4.085,#247,3.213,3.213,#277,3.511,3.511,#501,2.894,2.894
Floppy'ng Around,"Pvp-man, L3mmy, seyar", 32,#160,3.531,3.531,#139,3.625,3.625,#300,3.469,3.469,#90,4.188,4.188,#220,3.281,3.281,#71,4.188,4.188,#66,4.125,4.125
AI Builder,Sp1ceForce, 17,#161,3.529,3.529,#124,3.647,3.647,#227,3.647,3.647,#121,4.118,4.118,#145,3.471,3.471,#374,3.235,3.235,#40,4.235,4.235
Fish Rage,mrmav, 51,#161,3.529,3.529,#157,3.588,3.588,#174,3.765,3.765,#102,4.157,4.157,#129,3.529,3.529,#79,4.157,4.157,#623,2.529,2.529
Aiden 1.4,Loopit_3, 17,#161,3.529,3.529,#174,3.529,3.529,#297,3.471,3.471,#495,3.353,3.353,#129,3.529,3.529,#15,4.529,4.529,#40,4.235,4.235
Uncollaborative AIs,RabbitDev, 21,#164,3.524,3.524,#179,3.524,3.524,#137,3.857,3.857,#303,3.762,3.762,#324,3.048,3.048,#334,3.333,3.333,#31,4.286,4.286
To Get The Robot To The Other Side,CzarGames, 21,#164,3.524,3.524,#93,3.762,3.762,#196,3.714,3.714,#9,4.524,4.524,#91,3.619,3.619,#55,4.286,4.286,#357,3.333,3.333
Signail,Michael Primo, 43,#166,3.512,3.512,#138,3.628,3.628,#155,3.814,3.814,#407,3.535,3.535,#89,3.628,3.628,#148,3.907,3.907,#337,3.372,3.372
My Friend Roby,"Mishtiff, drewk2525", 59,#167,3.508,3.508,#86,3.797,3.797,#294,3.492,3.492,#120,4.119,4.119,#423,2.831,2.831,#580,2.644,2.644,#19,4.339,4.339
Washing Machine of Doom,oman276, 12,#168,3.500,3.500,#221,3.417,3.417,#147,3.833,3.833,#135,4.083,4.083,#109,3.583,3.583,#334,3.333,3.333,#58,4.167,4.167
ahaha,ahaha, 26,#168,3.500,3.500,#385,3.038,3.038,#78,4.000,4.000,#346,3.654,3.654,#147,3.462,3.462,#267,3.538,3.538,#433,3.115,3.115
Volleybot,"Galse22, JMCDmusic, HauntedFaun", 20,#168,3.500,3.500,#228,3.400,3.400,#355,3.350,3.350,#128,4.100,4.100,#71,3.700,3.700,#116,4.000,4.000,#461,3.000,3.000
Creative Destruction,"ne_mene, IamHaPPy, Markositta", 26,#168,3.500,3.500,#68,3.885,3.885,#207,3.692,3.692,#406,3.538,3.538,#72,3.692,3.692,#101,4.077,4.077,#665,2.385,2.385
B1T by B1T,JackTaylor.exe, 36,#168,3.500,3.500,#198,3.472,3.472,#316,3.444,3.444,#162,4.056,4.056,#229,3.250,3.250,#160,3.861,3.861,#225,3.694,3.694
Turret Turmoil,"exquizzit, xXx_T0SHIII_xXx", 12,#168,3.500,3.500,#253,3.333,3.333,#147,3.833,3.833,#579,3.083,3.083,#329,3.000,3.000,#334,3.333,3.333,#135,3.917,3.917
Airdrop Commander,kingdomjack, 16,#168,3.500,3.500,#214,3.438,3.438,#209,3.688,3.688,#90,4.188,4.188,#254,3.188,3.188,#431,3.063,3.063,#175,3.813,3.813
Stan,Morfy, 18,#168,3.500,3.500,#325,3.167,3.167,#70,4.056,4.056,#413,3.500,3.500,#372,2.944,2.944,#220,3.667,3.667,#217,3.722,3.722
Robot Legs,Bruno08, 18,#168,3.500,3.500,#235,3.389,3.389,#147,3.833,3.833,#97,4.167,4.167,#372,2.944,2.944,#278,3.500,3.500,#357,3.333,3.333
"Defuse The Bomb, Now!",Yi-KaG, 70,#168,3.500,3.500,#224,3.414,3.414,#97,3.971,3.971,#576,3.100,3.100,#96,3.614,3.614,#53,4.300,4.300,#213,3.729,3.729
Stickochet,witch, 49,#178,3.490,3.490,#19,4.184,4.184,#284,3.510,3.510,#16,4.490,4.490,#106,3.592,3.592,#189,3.776,3.776,#702,2.265,2.265
Mother Hen,Tomaz Saraiva, 25,#179,3.480,3.480,#150,3.600,3.600,#264,3.560,3.560,#71,4.240,4.240,#184,3.360,3.360,#116,4.000,4.000,#313,3.440,3.440
Roomba Team,Moonin, 21,#180,3.476,3.476,#253,3.333,3.333,#73,4.048,4.048,#39,4.381,4.381,#91,3.619,3.619,#251,3.571,3.571,#37,4.238,4.238
Boop & Bebop,"cakeu, orbilu2, Fogheart, Piotr Matyja, OwenCooperSFX, Ronuu, SdSound, Imated, Cheeru9", 42,#180,3.476,3.476,#196,3.476,3.476,#357,3.333,3.333,#266,3.833,3.833,#76,3.667,3.667,#102,4.071,4.071,#112,3.976,3.976
AMZNing Simulator,"MetRiko, Dualithe", 19,#182,3.474,3.474,#96,3.737,3.737,#59,4.105,4.105,#65,4.263,4.263,#831,1.421,1.421,#273,3.526,3.526,#25,4.316,4.316
Drone Herder,sebastianhb, 55,#183,3.473,3.473,#159,3.582,3.582,#58,4.109,4.109,#240,3.873,3.873,#857,1.309,1.309,#147,3.909,3.909,#96,4.018,4.018
Rooba Best Friend,Nick Winters, 36,#184,3.472,3.472,#114,3.667,3.667,#180,3.750,3.750,#162,4.056,4.056,#252,3.194,3.194,#477,2.889,2.889,#151,3.889,3.889
Unicycle Mountain,o7Moon, 17,#185,3.471,3.471,#199,3.471,3.471,#106,3.941,3.941,#57,4.294,4.294,#375,2.941,2.941,#394,3.176,3.176,#123,3.941,3.941
Boogie with Bots,Softwarecrow, 17,#185,3.471,3.471,#247,3.353,3.353,#198,3.706,3.706,#175,4.000,4.000,#12,4.176,4.176,#139,3.941,3.941,#236,3.647,3.647
CompAInion,ArcticCerf, 10,#187,3.469,3.800,#61,3.925,4.300,#374,3.286,3.600,#441,3.469,3.800,#124,3.560,3.900,#172,3.834,4.200,#300,3.469,3.800
Invade The Facility,GBAM13, 10,#187,3.469,3.800,#77,3.834,4.200,#115,3.925,4.300,#170,4.017,4.400,#295,3.104,3.400,#315,3.378,3.700,#97,4.017,4.400
AIsland,HrKaktus, 43,#189,3.465,3.465,#277,3.279,3.279,#253,3.581,3.581,#284,3.791,3.791,#152,3.442,3.442,#104,4.070,4.070,#311,3.442,3.442
VirusExterminator,SkyLike, 43,#189,3.465,3.465,#69,3.860,3.860,#453,3.140,3.140,#278,3.814,3.814,#168,3.395,3.395,#138,3.953,3.953,#376,3.279,3.279
Space Stop,KyleAgius, 9,#191,3.464,4.000,#119,3.657,4.222,#103,3.945,4.556,#256,3.849,4.444,#122,3.560,4.111,#223,3.657,4.222,#196,3.753,4.333
BurdenBot,memile, 13,#192,3.462,3.462,#265,3.308,3.308,#78,4.000,4.000,#300,3.769,3.769,#59,3.769,3.769,#116,4.000,4.000,#80,4.077,4.077
Always Turn Right,Szolitor1, 13,#192,3.462,3.462,#206,3.462,3.462,#171,3.769,3.769,#615,3.000,3.000,#383,2.923,2.923,#289,3.462,3.462,#43,4.231,4.231
Big Brother,LennyPhoenix, 37,#194,3.459,3.459,#208,3.459,3.459,#126,3.892,3.892,#315,3.730,3.730,#210,3.297,3.297,#282,3.486,3.486,#119,3.946,3.946
AI vs Family,LoomingGoblin, 61,#195,3.459,3.459,#83,3.803,3.803,#60,4.098,4.098,#306,3.754,3.754,#175,3.377,3.377,#491,2.869,2.869,#156,3.869,3.869
Gob Stopper - Magical Machine Learning,"McDichael, Bim!, TaylorGwynn, Thomas Goos", 48,#196,3.458,3.458,#169,3.542,3.542,#311,3.458,3.458,#613,3.042,3.042,#306,3.083,3.083,#357,3.271,3.271,#401,3.208,3.208
I'm Not A Human,Part-time Maniac, 35,#197,3.457,3.457,#339,3.143,3.143,#56,4.114,4.114,#31,4.400,4.400,#263,3.171,3.171,#163,3.857,3.857,#294,3.486,3.486
The land of king Albert Impetuous,Kovachz, 95,#198,3.453,3.453,#150,3.600,3.600,#61,4.084,4.084,#296,3.779,3.779,#126,3.547,3.547,#440,3.032,3.032,#224,3.695,3.695
Finish the Game,Mentix, 40,#199,3.450,3.450,#228,3.400,3.400,#168,3.775,3.775,#331,3.675,3.675,#314,3.075,3.075,#519,2.825,2.825,#351,3.350,3.350
Peanut n Jelly,"PepperBoi, Jamal Creates", 23,#200,3.435,3.435,#215,3.435,3.435,#203,3.696,3.696,#241,3.870,3.870,#141,3.478,3.478,#116,4.000,4.000,#90,4.043,4.043
Rhino Rampage,"ArtB2003, Rowlof", 23,#200,3.435,3.435,#390,3.000,3.000,#224,3.652,3.652,#411,3.522,3.522,#206,3.304,3.304,#146,3.913,3.913,#250,3.609,3.609
Voluntary Collaboration,Hawke Gaming, 21,#202,3.429,3.429,#274,3.286,3.286,#99,3.952,3.952,#129,4.095,4.095,#215,3.286,3.286,#163,3.857,3.857,#115,3.952,3.952
AI Too,"SabifiedSab, Danu, Olinreedster", 49,#202,3.429,3.429,#136,3.633,3.633,#481,3.041,3.041,#206,3.939,3.939,#173,3.388,3.388,#281,3.490,3.490,#195,3.755,3.755
ROB-BOT,Apox Games, 14,#202,3.429,3.429,#60,3.929,3.929,#406,3.214,3.214,#105,4.143,4.143,#83,3.643,3.643,#204,3.714,3.714,#346,3.357,3.357
Soon Light,DreamTeck, 14,#202,3.429,3.429,#244,3.357,3.357,#320,3.429,3.429,#413,3.500,3.500,#243,3.214,3.214,#102,4.071,4.071,#492,2.929,2.929
Virulence,Trabasura, 14,#202,3.429,3.429,#71,3.857,3.857,#230,3.643,3.643,#567,3.143,3.143,#275,3.143,3.143,#204,3.714,3.714,#398,3.214,3.214
B.O.T.S Tots,"Livingstone Games, Deadrock", 26,#207,3.423,3.423,#251,3.346,3.346,#223,3.654,3.654,#215,3.923,3.923,#155,3.423,3.423,#116,4.000,4.000,#114,3.962,3.962
Double Trouble,squide250, 31,#208,3.419,3.419,#259,3.323,3.323,#440,3.161,3.161,#76,4.226,4.226,#328,3.032,3.032,#230,3.645,3.645,#168,3.839,3.839
FeedingTime,neverasaint, 12,#209,3.417,3.417,#114,3.667,3.667,#62,4.083,4.083,#45,4.333,4.333,#109,3.583,3.583,#97,4.083,4.083,#461,3.000,3.000
RobbieRunner,Kalterrier Studios, 12,#209,3.417,3.417,#362,3.083,3.083,#180,3.750,3.750,#335,3.667,3.667,#419,2.833,2.833,#197,3.750,3.750,#5,4.500,4.500
Space Survivor,Adonis, 41,#211,3.415,3.415,#105,3.707,3.707,#241,3.610,3.610,#269,3.829,3.829,#806,1.512,1.512,#349,3.293,3.293,#161,3.854,3.854
Robot Pusher,Straves, 29,#212,3.414,3.414,#213,3.448,3.448,#267,3.552,3.552,#209,3.931,3.931,#233,3.241,3.241,#91,4.103,4.103,#146,3.897,3.897
One Step Ahead,TheMosterts, 34,#213,3.412,3.412,#174,3.529,3.529,#328,3.412,3.412,#11,4.500,4.500,#174,3.382,3.382,#272,3.529,3.529,#139,3.912,3.912
Buggy Down,ShadowNight, 27,#214,3.407,3.407,#165,3.556,3.556,#265,3.556,3.556,#149,4.074,4.074,#211,3.296,3.296,#67,4.222,4.222,#371,3.296,3.296
"""Plz Help"" - AI Robot","WasSoup, Sara Undre, Napsterfou", 32,#215,3.406,3.406,#120,3.656,3.656,#356,3.344,3.344,#79,4.219,4.219,#134,3.500,3.500,#304,3.406,3.406,#175,3.813,3.813
The C.O.P.E Principle.,Jekerrr, 69,#216,3.406,3.406,#101,3.725,3.725,#550,2.855,2.855,#53,4.304,4.304,#120,3.565,3.565,#116,4.000,4.000,#473,2.986,2.986
Chain Reaction,Zombieschannel, 15,#217,3.400,3.400,#228,3.400,3.400,#215,3.667,3.667,#45,4.333,4.333,#128,3.533,3.533,#358,3.267,3.267,#461,3.000,3.000
Platforming with AI,OzoneGameDev, 15,#217,3.400,3.400,#373,3.067,3.067,#412,3.200,3.200,#152,4.067,4.067,#329,3.000,3.000,#590,2.600,2.600,#178,3.800,3.800
Blobs,Dawnosaur Studios, 15,#217,3.400,3.400,#253,3.333,3.333,#276,3.533,3.533,#312,3.733,3.733,#378,2.933,2.933,#334,3.333,3.333,#302,3.467,3.467
HaxGAN,chair, 11,#220,3.395,3.545,#302,3.220,3.364,#332,3.395,3.545,#427,3.482,3.636,#118,3.569,3.727,#115,4.004,4.182,#456,3.046,3.182
The Greetings Intelligence,Greetings Cult, 66,#221,3.394,3.394,#182,3.500,3.500,#232,3.636,3.636,#238,3.879,3.879,#154,3.439,3.439,#350,3.288,3.288,#214,3.727,3.727
AIBuddy: Triage Edition,Datux, 18,#222,3.389,3.389,#253,3.333,3.333,#30,4.222,4.222,#639,2.944,2.944,#460,2.722,2.722,#560,2.722,2.722,#99,4.000,4.000
Frogue Legacy,Nevets Game Studios LLC, 98,#224,3.388,3.388,#141,3.622,3.622,#296,3.480,3.480,#311,3.735,3.735,#205,3.306,3.306,#332,3.347,3.347,#282,3.520,3.520
Aperture: Beginning,Hopeful Games, 31,#225,3.387,3.387,#167,3.548,3.548,#553,2.839,2.839,#323,3.710,3.710,#67,3.742,3.742,#34,4.419,4.419,#256,3.581,3.581
Pong with AI(Wowie Jam 4.0),FunZir Games, 31,#225,3.387,3.387,#319,3.194,3.194,#239,3.613,3.613,#113,4.129,4.129,#377,2.935,2.935,#506,2.839,2.839,#75,4.097,4.097
OverSeeker,"JeffTheMilkMan, PerfMouse Studios, nightthelings", 13,#227,3.385,3.385,#337,3.154,3.154,#398,3.231,3.231,#215,3.923,3.923,#238,3.231,3.231,#6,4.615,4.615,#517,2.846,2.846
The Owl Bot,Sleepy Lava, 26,#227,3.385,3.385,#182,3.500,3.500,#306,3.462,3.462,#142,4.077,4.077,#329,3.000,3.000,#333,3.346,3.346,#367,3.308,3.308
Kingdom Inc.,chilly_chili, 34,#229,3.382,3.382,#174,3.529,3.529,#214,3.676,3.676,#381,3.588,3.588,#287,3.118,3.118,#66,4.235,4.235,#568,2.706,2.706
AvoId,Sebacape, 34,#229,3.382,3.382,#247,3.353,3.353,#396,3.235,3.235,#38,4.382,4.382,#196,3.324,3.324,#528,2.794,2.794,#312,3.441,3.441
Symbiosis,Falcon89, 42,#232,3.381,3.381,#182,3.500,3.500,#377,3.286,3.286,#169,4.024,4.024,#300,3.095,3.095,#352,3.286,3.286,#281,3.524,3.524
Ninja Showdown,"Caxt Nova, Edgars_Skrabins", 16,#233,3.375,3.375,#264,3.313,3.313,#258,3.563,3.563,#486,3.375,3.375,#200,3.313,3.313,#197,3.750,3.750,#732,2.125,2.125
Ocean Anomaly,"Jugan0, Phonetyx", 19,#234,3.368,3.368,#334,3.158,3.158,#102,3.947,3.947,#572,3.105,3.105,#7,4.263,4.263,#171,3.842,3.842,#318,3.421,3.421
Jim's Cafe,Enkrypt, 8,#235,3.368,4.125,#200,3.470,4.250,#384,3.266,4.000,#435,3.470,4.250,#180,3.368,4.125,#324,3.368,4.125,#260,3.572,4.375
/home$help,SirBagel3, 8,#235,3.368,4.125,#200,3.470,4.250,#345,3.368,4.125,#560,3.164,3.875,#269,3.164,3.875,#324,3.368,4.125,#382,3.266,4.000
Rust And Cordy,Wrathian, 9,#237,3.368,3.889,#205,3.464,4.000,#260,3.560,4.111,#256,3.849,4.444,#181,3.368,3.889,#287,3.464,4.000,#196,3.753,4.333
Wrapped AI,HexagonNico, 22,#238,3.364,3.364,#209,3.455,3.455,#120,3.909,3.909,#329,3.682,3.682,#107,3.591,3.591,#190,3.773,3.773,#99,4.000,4.000
Collaboration Panel,nickdevprod, 22,#238,3.364,3.364,#132,3.636,3.636,#169,3.773,3.773,#472,3.409,3.409,#198,3.318,3.318,#134,3.955,3.955,#284,3.500,3.500
Final Minutes,EpicBettaFish, 25,#240,3.360,3.360,#131,3.640,3.640,#330,3.400,3.400,#431,3.480,3.480,#235,3.240,3.240,#371,3.240,3.240,#99,4.000,4.000
AI Assistance,Okau, 14,#241,3.357,3.357,#339,3.143,3.143,#448,3.143,3.143,#413,3.500,3.500,#435,2.786,2.786,#405,3.143,3.143,#218,3.714,3.714
Bad-AI-Bird,BadPaddy, 37,#242,3.351,3.351,#216,3.432,3.432,#200,3.703,3.703,#40,4.378,4.378,#232,3.243,3.243,#314,3.378,3.378,#85,4.054,4.054
Out of Control,Varga Jácint, 20,#243,3.350,3.350,#212,3.450,3.450,#101,3.950,3.950,#253,3.850,3.850,#99,3.600,3.600,#168,3.850,3.850,#198,3.750,3.750
to Give a Leg,GrapplingAnchors, 78,#244,3.346,3.346,#305,3.218,3.218,#63,4.077,4.077,#575,3.103,3.103,#296,3.103,3.103,#180,3.808,3.808,#227,3.692,3.692
SubPrime Delivery [Prototype],"RECRAFTED STUDIOS, Master Cannoli", 15,#245,3.333,3.333,#57,3.933,3.933,#456,3.133,3.133,#475,3.400,3.400,#37,3.867,3.867,#86,4.133,4.133,#230,3.667,3.667
The Puzzle Hallway,CodeShrimp, 12,#245,3.333,3.333,#221,3.417,3.417,#527,2.917,2.917,#384,3.583,3.583,#388,2.917,2.917,#620,2.500,2.500,#580,2.667,2.667
A Bot,fel59, 12,#245,3.333,3.333,#158,3.583,3.583,#357,3.333,3.333,#135,4.083,4.083,#419,2.833,2.833,#197,3.750,3.750,#284,3.500,3.500
Hello LogicAI - Jam version,nElecticX7, 54,#245,3.333,3.333,#388,3.019,3.019,#305,3.463,3.463,#363,3.630,3.630,#221,3.278,3.278,#383,3.204,3.204,#284,3.500,3.500
Wizard Couple Survivors,nuzcraft, 27,#245,3.333,3.333,#352,3.111,3.111,#504,2.963,2.963,#41,4.370,4.370,#427,2.815,2.815,#234,3.630,3.630,#151,3.889,3.889
ZombaTron,"Equilius, Mr Craft", 12,#245,3.333,3.333,#325,3.167,3.167,#42,4.167,4.167,#175,4.000,4.000,#329,3.000,3.000,#441,3.000,3.000,#99,4.000,4.000
Save The Brainless,Lythmass, 15,#245,3.333,3.333,#84,3.800,3.800,#243,3.600,3.600,#62,4.267,4.267,#454,2.733,2.733,#142,3.933,3.933,#357,3.333,3.333
Semi Auto Generated Stories,OneCrit, 119,#252,3.328,3.328,#236,3.387,3.387,#38,4.176,4.176,#192,3.983,3.983,#355,2.975,2.975,#302,3.412,3.412,#458,3.042,3.042
Switcheroo,Utkrisht, 40,#253,3.325,3.325,#139,3.625,3.625,#243,3.600,3.600,#26,4.425,4.425,#796,1.550,1.550,#457,2.950,2.950,#493,2.925,2.925
You had ONE job...!,MiniMelonStudio, 28,#254,3.321,3.321,#339,3.143,3.143,#112,3.929,3.929,#48,4.321,4.321,#463,2.714,2.714,#393,3.179,3.179,#93,4.036,4.036
MO-BO,"Bum's, Half Leaf Studios, spine", 50,#255,3.320,3.320,#182,3.500,3.500,#285,3.500,3.500,#453,3.460,3.460,#197,3.320,3.320,#116,4.000,4.000,#99,4.000,4.000
DOGGO NOIR,Fizzly Games, 13,#256,3.308,3.308,#294,3.231,3.231,#78,4.000,4.000,#300,3.769,3.769,#94,3.615,3.615,#213,3.692,3.692,#578,2.692,2.692
Dog Walking Simulator,wb_gd, 11,#257,3.307,3.455,#476,2.785,2.909,#117,3.917,4.091,#223,3.917,4.091,#282,3.133,3.273,#175,3.830,4.000,#205,3.743,3.909
CodeTheAI,VLD & RC, 23,#258,3.304,3.304,#479,2.783,2.783,#203,3.696,3.696,#348,3.652,3.652,#526,2.522,2.522,#255,3.565,3.565,#155,3.870,3.870
Bridge Bot,Shrek2374, 17,#259,3.294,3.294,#124,3.647,3.647,#129,3.882,3.882,#204,3.941,3.941,#259,3.176,3.176,#411,3.118,3.118,#348,3.353,3.353
My AI Brain,mwn02, 24,#260,3.292,3.292,#283,3.250,3.250,#162,3.792,3.792,#683,2.750,2.750,#539,2.500,2.500,#644,2.375,2.375,#92,4.042,4.042
The Second,Boba89, 21,#261,3.286,3.286,#237,3.381,3.381,#137,3.857,3.857,#87,4.190,4.190,#215,3.286,3.286,#414,3.095,3.095,#194,3.762,3.762
ASTROSMITH,"Sheepy, ZuelaBR", 14,#261,3.286,3.286,#160,3.571,3.571,#406,3.214,3.214,#539,3.214,3.214,#412,2.857,2.857,#183,3.786,3.786,#261,3.571,3.571
The buttons of truth,Iqui, 21,#261,3.286,3.286,#551,2.571,2.571,#688,2.333,2.333,#228,3.905,3.905,#143,3.476,3.476,#676,2.286,2.286,#794,1.857,1.857
Drift Mayhem,SMdG, 18,#264,3.278,3.278,#299,3.222,3.222,#166,3.778,3.778,#266,3.833,3.833,#221,3.278,3.278,#56,4.278,4.278,#330,3.389,3.389
BrAInless Office,Merphin, 62,#265,3.274,3.274,#423,2.935,2.935,#229,3.645,3.645,#285,3.790,3.790,#317,3.065,3.065,#70,4.194,4.194,#142,3.903,3.903
Forced To Help,"Herof123, Ratainen", 22,#266,3.273,3.273,#262,3.318,3.318,#211,3.682,3.682,#472,3.409,3.409,#162,3.409,3.409,#177,3.818,3.818,#255,3.591,3.591
RunawAI,"daheergt, IamHaPPy", 33,#266,3.273,3.273,#253,3.333,3.333,#142,3.848,3.848,#156,4.061,4.061,#248,3.212,3.212,#72,4.182,4.182,#491,2.939,2.939
Bot Appétit,"plasmastarfish, FungusBones, shoulder cat", 8,#268,3.266,4.000,#240,3.368,4.125,#299,3.470,4.250,#523,3.266,4.000,#225,3.266,4.000,#188,3.776,4.625,#583,2.654,3.250
Scrag and his Human,Legingergamer, 8,#268,3.266,4.000,#330,3.164,3.875,#345,3.368,4.125,#489,3.368,4.125,#359,2.960,3.625,#132,3.980,4.875,#448,3.062,3.750
A Gallon of Retail,Evan4ik, 57,#270,3.263,3.263,#227,3.404,3.404,#123,3.895,3.895,#529,3.263,3.263,#593,2.316,2.316,#320,3.368,3.368,#552,2.754,2.754
Self-Sabotage,botstarai, 39,#271,3.256,3.256,#206,3.462,3.462,#122,3.897,3.897,#549,3.179,3.179,#189,3.333,3.333,#182,3.795,3.795,#537,2.795,2.795
A Self-Driving Vacuum Cleaner,TheUnknown1050, 55,#272,3.255,3.255,#113,3.673,3.673,#186,3.745,3.745,#42,4.364,4.364,#571,2.382,2.382,#342,3.327,3.327,#251,3.600,3.600
Aimbot Required,Catrop, 24,#273,3.250,3.250,#253,3.333,3.333,#395,3.250,3.250,#45,4.333,4.333,#286,3.125,3.125,#317,3.375,3.375,#135,3.917,3.917
Partner Dungeon,AsfiGames, 16,#273,3.250,3.250,#283,3.250,3.250,#420,3.188,3.188,#280,3.813,3.813,#254,3.188,3.188,#317,3.375,3.375,#34,4.250,4.250
TALK TO ME AI,C0dyy, 56,#273,3.250,3.250,#271,3.304,3.304,#50,4.143,4.143,#25,4.429,4.429,#176,3.375,3.375,#612,2.536,2.536,#48,4.214,4.214
Non-human friend,FunBanan, 36,#273,3.250,3.250,#182,3.500,3.500,#571,2.778,2.778,#168,4.028,4.028,#264,3.167,3.167,#144,3.917,3.917,#345,3.361,3.361
Fight And Flight,Penguinmanereikel, 16,#273,3.250,3.250,#283,3.250,3.250,#156,3.813,3.813,#544,3.188,3.188,#200,3.313,3.313,#390,3.188,3.188,#284,3.500,3.500
"Companion ""Bot 1.0""",SmallGrains, 12,#273,3.250,3.250,#325,3.167,3.167,#250,3.583,3.583,#135,4.083,4.083,#189,3.333,3.333,#363,3.250,3.250,#34,4.250,4.250
Blue Pipe Samurai,ConoroGames, 52,#273,3.250,3.250,#369,3.077,3.077,#338,3.385,3.385,#286,3.788,3.788,#408,2.865,2.865,#131,3.981,3.981,#367,3.308,3.308
AI Workshop,Drafted, 20,#273,3.250,3.250,#312,3.200,3.200,#180,3.750,3.750,#326,3.700,3.700,#472,2.700,2.700,#457,2.950,2.950,#164,3.850,3.850
Bot Hound,wey282, 21,#281,3.238,3.238,#217,3.429,3.429,#448,3.143,3.143,#87,4.190,4.190,#300,3.095,3.095,#81,4.143,4.143,#141,3.905,3.905
